DateTime,Animal,VO2_M,VCO2_M,VH2O_M,kcal_hr_M,RER_M,FoodInA_M,WaterInA_M,BodyMass_Mnz,PedSpeed_Mnz,PedMeters_M,PedMeters_R,AllMeters_M,AllMeters_R,XBreak_R,YBreak_R,ZBreak_R,EnviroTemp_M,EnviroRH_M,EnviroBP_M,EnviroLightlux_M,EnviroOccupancy_M,EnviroSound_M,Still_pct_M,Sleep_pct_M
2023/06/28 18:28:49,2_1,1.3125,1.540438,0.5820231,0.4125772,1.21011,0.01913864,6.05265E-06,0,0.03402033,35.40108,74.61739,38.08931,79.78923,4101,4395,288,30.64606,32.62271,100.5051,0.5455555,12.51005,1990.337,12.16667,0
2023/06/28 19:28:49,2_1,1.360158,1.479366,0.4304651,0.4197936,1.109155,0.5467713,0.003112793,0,0.03797555,129.1734,105.9393,136.4776,110.2318,4567,4589,877,30.65349,33.14626,100.5301,0,12.50762,1635.244,7.972222,0
2023/06/28 20:28:49,2_1,1.448604,1.482934,0.3599261,0.4409444,1.039869,0.7383919,0.02176756,0,0.03700681,232.4369,95.01149,244.1572,99.55801,4175,4284,664,30.77198,32.64965,100.535,0,12.50772,1791.559,14.02778,0
2023/06/28 21:28:49,2_1,1.473306,1.485395,0.2824029,0.4469487,1.02551,0.7685074,0.0506003,0,0.03131425,313.5479,75.29385,330.0938,80.45615,4173,4126,470,30.68095,32.99786,100.5398,0,12.50549,1645.897,12.16667,0
2023/06/28 22:28:49,2_1,1.330531,1.444753,0.3520075,0.410491,1.108022,0.8231714,0.2015768,28.41488,0.02864163,382.394,62.89203,404.2014,68.173,4166,3830,328,30.65799,32.90666,100.5425,0,12.50792,1791.144,18.19444,2.5
2023/06/28 23:28:49,2_1,1.370819,1.41874,0.3375222,0.4182913,1.045144,0.8946736,0.2310456,28.35043,0.02661536,438.5011,49.88858,465.617,55.29037,3385,3636,217,30.63529,33.03527,100.54,0,12.50939,1656.708,13.5,1.194444
2023/06/29 00:28:49,2_1,1.346114,1.35657,0.2703595,0.4083241,1.021582,1.080478,0.4920805,28.57646,0.02484084,485.4206,39.70624,517.8564,44.78052,2795,3379,458,30.68852,32.71514,100.5032,0,12.50731,1817.199,17.58333,1.361111
2023/06/29 01:28:49,2_1,1.431059,1.347982,0.2377626,0.4278404,0.9465118,1.270416,0.796694,28.80205,0.03275257,531.9597,51.49356,568.9044,55.70416,2592,3032,570,30.60607,33.11642,100.487,0,12.50737,1674.66,18.11111,5.111111
2023/06/29 02:28:49,2_1,1.469949,1.370043,0.2324311,0.4385003,0.9370224,1.531464,1.00253,29.04522,0.02839013,581.0372,56.6568,622.5281,61.45538,3088,3274,365,30.69082,32.65682,100.4854,0,12.50875,1761.729,14.97222,0
2023/06/29 03:28:49,2_1,1.57883,1.439294,0.2241583,0.4688416,0.9162986,1.722978,1.323545,29.2668,0.03062267,648.7505,74.49005,694.8387,78.9964,3791,4094,467,30.59689,33.26902,100.4695,0,12.5069,1705.295,15.91667,1.305556
2023/06/29 04:28:49,2_1,1.521723,1.379814,0.2967915,0.4513911,0.9126935,2.026309,1.598682,29.01315,0.0281308,710.3522,55.39587,760.9608,59.90601,3124,3846,498,30.672,32.97923,100.5004,0,12.50936,1629.962,20.41667,5.111111
2023/06/29 05:28:49,2_1,1.48349,1.369863,0.3474649,0.4416901,0.9309227,2.243051,1.786458,28.97419,0.02500482,766.8022,47.61237,821.9284,51.93909,2582,3350,226,30.6502,32.91535,100.5737,0,12.50779,1787.923,20.97222,0
2023/06/29 06:28:49,2_1,1.60392,1.433537,0.2761336,0.4743926,0.903239,2.440809,1.841308,29.07423,0.02970523,810.9656,57.56537,870.15,61.26215,2789,3372,336,30.50735,33.29061,100.6261,8.535277,15.85407,1875.268,20.25,2.611111
2023/06/29 07:28:49,2_1,1.903023,1.412911,0.2022528,0.5437495,0.7993722,2.677827,1.958713,29.06163,0.03136151,869.2541,60.11914,931.9969,63.65588,2959,3394,176,30.78676,32.58717,100.6921,1,12.50788,1623.921,19.33333,4.111111
2023/06/29 08:28:49,2_1,1.421243,1.14474,0.2062193,0.4120322,0.8179895,2.856281,2.049668,29.00317,0.02813596,919.922,38.15179,985.9422,41.26312,1956,2498,129,30.61926,32.9214,100.7217,4.990833,14.49678,1646.143,25.16667,4.527778
2023/06/29 09:28:49,2_1,1.553071,1.301554,0.2934408,0.4536104,0.8471363,3.183248,2.07774,28.93527,0.0278611,971.541,53.66748,1040.797,57.00708,2822,3476,207,30.5797,32.77006,100.7291,1,12.50606,1706.925,44.86111,29.91667
2023/06/29 10:28:49,2_1,1.370936,1.140195,0.3090594,0.3998348,0.8336862,3.519702,2.188723,28.67557,0.02741355,1015.078,42.32709,1087.674,45.52039,2273,2589,268,30.64576,32.53389,100.7578,1,12.50685,1646.65,62.16667,54.02778
2023/06/29 11:28:49,2_1,1.343387,1.135807,0.2273207,0.3930296,0.8458442,3.727711,2.245403,28.7071,0.02580429,1066.43,46.47766,1142.297,49.64172,2655,2861,436,30.57459,33.02934,100.762,1,12.50473,1591.12,50.19444,27.5
2023/06/29 12:28:49,2_1,1.289188,1.088617,0.2127312,0.3770821,0.8465745,4.036667,2.293441,28.64994,0.02109611,1105.5,32.9502,1184.429,36.12329,2158,2519,451,30.63542,32.48817,100.722,1,12.50828,1721.806,59.44444,51.44444
2023/06/29 13:28:49,2_1,0.9987926,0.791806,0.1588034,0.2887188,0.8249258,4.883537,2.309493,28.61837,0.01207761,1122.034,3.219116,1203.203,4.677612,469,649,0,30.58517,32.78212,100.6651,1,12.50536,1507.825,90.94444,90.94444
2023/06/29 14:28:49,2_1,1.291224,0.8911523,0.1254532,0.3644597,0.7337136,5.40464,2.343849,28.61652,0.01859099,1126.217,7.809692,1208.759,9.340942,646,906,249,30.41742,33.01659,100.6411,17.51139,35.25635,2155.378,79.02778,78
2023/06/29 15:28:49,2_1,1.016374,0.9912662,0.1496442,0.3061121,0.9808303,6.35149,2.69508,28.91839,0.0169775,1134.799,5.760132,1218.932,7.198608,525,898,282,30.68642,32.99761,100.6547,3.956944,13.77915,1447.574,78.38889,77.41666
2023/06/29 16:28:49,2_1,0.9306989,0.8701129,0.161103,0.2778138,0.9340457,8.180617,2.699016,29.06545,0.01601647,1139.322,4.300293,1224.761,5.314697,333,561,139,30.65099,32.52534,100.6587,1,12.50835,1608.852,85.27778,84.69444
2023/06/29 17:28:49,2_1,1.101378,1.069935,0.154917,0.3314328,0.9772696,9.082947,2.753239,29.12517,0.01468826,1144.299,4.743164,1231.358,6.932373,814,1111,221,30.5841,33.03931,100.6563,6.440834,15.61837,1586.19,87.58334,87.58334
2023/06/29 18:28:49,2_1,1.296652,1.252712,0.1929162,0.3897363,0.96697,9.329109,2.762468,29.08408,0.03073273,1156.757,27.98352,1246.038,30.65857,1616,1935,420,30.62701,32.38155,100.6638,0.5461111,12.51027,1715.343,76.97222,75.08334
2023/06/29 19:28:49,2_1,1.409594,1.282174,0.1750877,0.4183978,0.9137107,9.493847,2.84054,29.04763,0.02594385,1188.793,31.38342,1281.496,34.98425,2117,2230,626,30.73335,32.85927,100.66,0,12.50707,1462.656,68.63889,64
2023/06/29 20:28:49,2_1,1.16895,1.098486,0.2017133,0.3493055,0.9424709,9.676762,2.965847,28.99496,0.02468782,1218.989,27.35547,1315.041,30.3634,1670,1989,600,30.7116,32.80199,100.6746,0,12.50497,1537.248,85.63889,83.77778
2023/06/29 21:28:49,2_1,1.254163,1.130481,0.2321291,0.3715782,0.91135,9.860426,3.025896,28.81327,0.02549007,1247.56,26.63245,1346.43,29.56494,1591,2125,615,30.67423,32.80317,100.7001,0,12.50658,1554.821,71.80556,68.22222
2023/06/29 22:28:49,2_1,1.215741,1.122929,0.3023853,0.3619917,0.92129,10.17264,3.155539,28.47323,0.01833882,1270.518,15.53406,1372.402,18.03564,1232,1331,317,30.70746,32.76302,100.7127,0,12.50474,1474.963,85.25,84.47222
2023/06/29 23:28:49,2_1,1.042116,0.9709185,0.2675464,0.3108489,0.9387586,10.41963,3.228418,28.38461,0.01421219,1276.863,5.200195,1380.747,7.152954,622,1099,365,30.63514,32.87786,100.7224,0,12.51038,1613.988,78.97222,78.97222
2023/06/30 00:28:49,2_1,1.269916,1.15111,0.2237159,0.376672,0.9120379,10.88092,3.408561,28.57392,0.02141987,1288.654,19.06409,1394.506,21.87109,1489,1721,403,30.67347,32.90565,100.7117,0,12.50823,1506.693,76.08334,73.25
2023/06/30 01:28:49,2_1,1.01603,0.9290627,0.2086595,0.3019032,0.9124545,11.10475,3.560647,28.65744,0.01940962,1305.599,8.050293,1414.198,9.682983,595,1084,273,30.66812,32.76531,100.7161,0,12.50985,1576.313,87.36111,85.69444
2023/06/30 02:28:49,2_1,0.9971762,0.9160845,0.168831,0.2965837,0.9179972,11.15306,3.567352,28.62382,0.01281523,1307.979,3.567261,1417.682,4.924927,514,800,337,30.65129,32.97688,100.6976,0,12.50976,1472.773,88.5,87.58334
2023/06/30 03:28:49,2_1,1.02002,0.9404758,0.1597027,0.3036039,0.9173229,11.50558,3.780142,28.81744,0.01648145,1316.111,6.597778,1427.6,8.203369,620,935,136,30.71441,32.66246,100.6719,0,12.5096,1551.19,87.91666,86.88889
2023/06/30 04:28:49,2_1,1.217943,1.111133,0.3087902,0.3617297,0.9147187,11.78249,3.808195,28.31547,0.02125777,1333.67,29.65906,1448.036,33.62219,2230,2600,490,30.62327,33.14735,100.6876,0,12.50983,1462.199,74.94444,74.94444
2023/06/30 05:28:49,2_1,0.9153951,0.8506567,0.273476,0.2729039,0.9273501,12.32882,3.8646,28.41445,0.009416103,1347.643,1.174561,1464.26,2.382813,354,683,86,30.71039,32.79931,100.7451,0,12.50896,1537.053,85.55556,83.25
2023/06/30 06:28:49,2_1,1.247383,1.178107,0.2134266,0.3731353,0.9510682,12.71773,3.947606,28.63717,0.02485047,1356.18,28.59949,1474.445,31.01416,1782,2050,354,30.54714,33.14789,100.7983,0.4533333,12.50656,1650.454,84.97222,79.88889
